Year,Month,pr,tas,hurs,tasmax,tasmin
1950,1,245.79683,25.03588,84.05016,26.650501,23.421257
1950,2,133.82922,25.504034,82.018524,27.259481,23.748587
1950,3,173.05568,25.758934,83.30318,27.549564,23.968304
1950,4,162.84393,26.617693,81.28439,28.536457,24.698929
1950,5,154.17325,26.99862,81.60758,29.007929,24.98931
1950,6,129.82,26.921455,80.65781,28.978905,24.864008
1950,7,105.29203,26.900528,79.38369,28.967497,24.833559
1950,8,173.68504,26.560585,80.81674,28.571667,24.549507
1950,9,233.52986,26.474646,81.94381,28.459352,24.489943
1950,10,260.1157,26.283339,83.08111,28.229807,24.336868
1950,11,293.73358,25.969563,82.95388,27.85427,24.084858
1950,12,222.1242,25.627058,82.33017,27.297798,23.95632
1951,1,164.07161,25.598986,82.58877,27.276855,23.921116
1951,2,83.29679,25.880796,80.54524,27.711803,24.049788
1951,3,90.22688,26.508904,79.72208,28.471552,24.546257
1951,4,148.21394,26.9575,81.65249,28.908281,25.006718
1951,5,168.31438,27.162724,82.21256,29.108084,25.217365
1951,6,178.09253,27.167862,81.5921,29.1502,25.185526
1951,7,212.74939,26.866228,81.97716,28.871075,24.861378
1951,8,164.05872,26.711903,81.51369,28.684406,24.7394
1951,9,225.10475,26.565771,82.28768,28.497684,24.633852
1951,10,282.54547,26.282356,83.1407,28.166513,24.3982
1951,11,317.58252,25.867247,84.195595,27.669682,24.064814
1951,12,294.42908,25.620237,84.56913,27.28318,23.95729
1952,1,198.22115,25.144306,82.59706,26.833479,23.455135
1952,2,124.906075,25.721378,82.480515,27.472647,23.970106
1952,3,166.87715,26.488441,82.59636,28.294416,24.682465
1952,4,136.02081,27.0174,80.35886,29.00396,25.03084
1952,5,137.41805,27.335968,80.637405,29.354696,25.317242
1952,6,96.90527,27.457918,78.90767,29.587132,25.3287
1952,7,145.7624,27.067245,80.29262,29.120537,25.01395
1952,8,218.47847,26.644402,81.954796,28.64928,24.639523
1952,9,230.3415,26.384686,82.13449,28.36339,24.405983
1952,10,291.22418,26.028364,83.46079,27.936094,24.120638
1952,11,262.32495,26.012808,83.730774,27.816366,24.209246
1952,12,191.37025,25.691322,83.35626,27.376318,24.006325
1953,1,174.7883,25.29438,82.91816,26.948643,23.640121
1953,2,89.13821,25.652712,81.096245,27.45605,23.849377
1953,3,147.38977,26.322079,81.8114,28.158306,24.485846
1953,4,145.3971,26.81454,80.56153,28.806519,24.822561
1953,5,202.67587,27.058065,82.40108,28.978168,25.137962
1953,6,166.57253,27.011812,81.27145,29.058306,24.965317
1953,7,159.4724,26.885042,81.6732,28.8705,24.899588
1953,8,167.48509,26.4873,81.48803,28.434841,24.539762
