Year,Month,Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,sd
1950,1,1950-01-16,233.19104,96.97082,83.31524,,25.154854,22.846954,27.462751,2.816758056758044,18.24518037518037,28.880942760942755
1950,2,1950-02-16,148.87718,79.73041,81.32705,,25.549019,23.0323,28.065735,3.91458273208272,14.35473905723905,27.741323953823944
1950,3,1950-03-16,209.57184,107.25779,82.83609,,25.781662,23.23233,28.330994,2.4128006253006133,21.66213684463684,30.574995189995185
1950,4,1950-04-16,210.34686,109.588165,82.042946,,26.387388,23.737404,29.03737,2.004347041847037,23.284890572390566,29.871632996632986
1950,5,1950-05-16,172.05922,79.06205,81.63787,,26.775736,23.981413,29.570059,1.7093217893217822,28.229343434343427,30.92659932659932
1950,6,1950-06-16,128.86635,73.9257,80.56318,,26.725626,23.85762,29.593634,3.45981000481,19.53848845598845,29.92718855218854
1950,7,1950-07-16,126.071106,69.52242,79.47134,,26.703217,23.7758,29.63064,4.97863155363155,18.555447330447326,30.870286195286194
1950,8,1950-08-16,216.70113,107.73173,80.967316,,26.369751,23.565985,29.173517,2.0270562770562734,23.19857744107743,30.866605339105337
1950,9,1950-09-16,256.19305,113.70895,82.04651,,26.357565,23.637995,29.077135,0.8005447330447223,28.495392015392,29.81277296777296
1950,10,1950-10-16,260.43613,92.80651,82.8064,,26.139624,23.474945,28.804296,0.18076479076478008,30.48929292929293,30.832059884559875
1950,11,1950-11-16,285.51978,94.85827,83.12299,,25.803785,23.205618,28.401949,0.42024050024049764,29.88761904761904,29.752020202020198
1950,12,1950-12-16,229.5673,73.527596,82.537,-0.79562765,25.554977,23.162378,27.947577,1.6820947570947455,27.105446127946124,30.686119528619525
1951,1,1951-01-16,193.5149,75.371704,82.61116,-0.97058314,25.49866,23.0923,27.905022,3.33925685425684,19.681629389129387,30.707139249639248
1951,2,1951-02-16,114.48832,55.636383,80.16571,-1.0615749,25.880089,23.211828,28.548353,5.123220298220289,14.580150312650302,27.84882154882154
1951,3,1951-03-16,128.31602,60.319416,79.344765,-1.29274,26.488203,23.681519,29.294884,4.974316979316967,16.56595719095719,30.9375
1951,4,1951-04-16,180.81238,88.94958,81.40375,-1.3391062,26.885248,24.15528,29.615225,2.3541269841269794,23.118452380952373,29.915488215488207
1951,5,1951-05-16,206.57121,93.04367,82.4238,-1.2128644,26.998611,24.30362,29.693602,1.7215716690716552,28.575674603174594,30.944444444444443
1951,6,1951-06-16,189.4555,106.25973,82.042915,-1.0026616,26.878576,24.186407,29.57075,0.9679244829244792,27.763077200577197,29.919444444444444
1951,7,1951-07-16,220.38237,122.92945,81.96995,-0.7043443,26.621164,23.891487,29.350845,2.445691438191435,25.69020803270802,30.794696969696965
1951,8,1951-08-16,181.79988,88.365715,81.68664,-0.8998881,26.51769,23.77446,29.260923,2.082138047138044,25.66254329004329,30.867960557960554
1951,9,1951-09-16,242.8457,110.74103,82.41497,-0.88851714,26.38395,23.716034,29.051867,0.17740620490619213,29.20742424242424,29.86426046176045
1951,10,1951-10-16,305.29462,108.39136,83.12385,-0.75293684,26.191175,23.62203,28.76032,0.4571945646945602,30.611269841269838,30.84484126984126
1951,11,1951-11-16,328.7538,107.64901,84.16671,-0.6281042,25.828459,23.34434,28.312574,0.3317075517075463,29.875651755651745,29.678833573833565
1951,12,1951-12-16,309.69025,100.90749,84.1081,-0.39010215,25.67206,23.340925,28.003195,0.698015873015868,29.171428571428567,30.4641847041847
1952,1,1952-01-16,250.05664,98.10401,82.436745,-0.18626422,25.156443,22.747473,27.565413,4.658489658489653,17.851880711880707,30.205002405002396
1952,2,1952-02-16,163.59726,84.67069,81.67886,-0.0031178098,25.815369,23.299902,28.330833,4.608225108225104,16.73977994227993,28.744059644059643
1952,3,1952-03-16,208.82037,112.229126,82.43778,0.2989645,26.426905,23.87533,28.978483,3.1500468975468867,24.071197691197685,30.83396464646464
1952,4,1952-04-16,174.67139,87.56774,80.960594,0.28607106,26.783096,24.023775,29.542414,3.218589466089456,23.191350408850404,29.90378787878787
1952,5,1952-05-16,149.10637,68.016426,80.94791,0.10305697,27.128021,24.322912,29.933134,2.411522366522361,26.213854016354006,30.956944444444446
1952,6,1952-06-16,84.47145,48.722897,78.31655,-0.24028842,27.268867,24.22767,30.31006,5.0277417027416895,15.512789802789792,29.9875
1952,7,1952-07-16,152.2378,83.811165,80.09252,-0.5406319,26.850267,23.98615,29.714388,4.333041125541123,19.120359547859536,30.920833333333334
1952,8,1952-08-16,202.89148,101.866936,81.57081,-0.47034526,26.540998,23.79358,29.288416,2.2473232323232293,25.39214766714766,30.882530062530055
1952,9,1952-09-16,246.7517,111.37668,82.276405,-0.45006076,26.185997,23.502584,28.86941,0.5791269841269792,28.838531746031734,29.775673400673394
1952,10,1952-10-16,315.67044,112.059746,83.66267,-0.3684472,25.872427,23.274567,28.470291,0.03282708032707176,30.964325396825394,30.77511904761904
1952,11,1952-11-16,270.75754,88.93229,83.575264,-0.56096166,25.919098,23.413843,28.424356,0.5980230880230787,29.832044252044245,29.806305916305913
1952,12,1952-12-16,219.77594,71.30015,83.3606,-0.935164,25.65819,23.249039,28.067339,1.409279701779699,28.383214285714285,30.756321548821543
1953,1,1953-01-16,206.6946,78.559746,82.75724,-1.1339552,25.270266,22.946146,27.594385,3.0587397787397688,18.632050264550255,30.174787157287152
1953,2,1953-02-16,118.52161,62.815857,81.116585,-1.2673051,25.630991,23.050873,28.211111,6.19855339105338,11.9394733044733,27.749641654641643
1953,3,1953-03-16,174.86827,95.85331,81.48179,-1.3512934,26.30356,23.643883,28.963236,6.132454304954294,17.992312409812406,30.855885040885035
1953,4,1953-04-16,159.78442,87.417076,80.97041,-1.423513,26.64086,23.844704,29.437017,2.570684223184213,18.686690716690705,29.88202861952861
1953,5,1953-05-16,237.18372,110.21356,82.55014,-1.0138036,26.871344,24.217245,29.525442,0.6384499759499652,28.017234247234235,30.88109187109186
1953,6,1953-06-16,174.47612,98.30172,81.76336,-0.662847,26.775389,24.003916,29.54686,3.1503715728715624,26.783969456469446,29.916666666666668
1953,7,1953-07-16,156.71307,87.17155,81.537285,-0.6778476,26.681158,23.917818,29.444496,1.904920634920625,24.782550505050494,30.89128787878787
1953,8,1953-08-16,195.93575,97.04352,81.62552,-0.71840817,26.31127,23.566694,29.055847,2.5864814814814814,23.715527898027894,30.86061928811928
1953,9,1953-09-16,249.70166,110.63904,82.28674,-0.6815832,26.127176,23.42334,28.831018,0.7389189514189467,28.441548821548817,29.811272246272246
1953,10,1953-10-16,290.9973,103.14797,83.25957,-0.78095007,26.193602,23.555588,28.831614,0.5134571909571876,29.772334054834054,30.8522619047619
1953,11,1953-11-16,292.5086,96.385216,83.81057,-0.7041175,25.962112,23.426498,28.497726,0.14376984126983797,29.74238095238095,29.83523809523809
1953,12,1953-12-16,249.1781,83.12515,82.84026,-0.647367,25.740028,23.25234,28.227715,1.1707082732082639,30.760396825396818,30.812301587301583
1954,1,1954-01-16,205.27065,82.62746,82.52108,-0.68843824,25.504465,23.168,27.840933,2.932130832130822,17.778517316017304,30.45296657046656
1954,2,1954-02-16,230.3661,139.07143,83.651436,-0.21647328,25.639235,23.276163,28.002304,1.7600312650312615,24.05907647907647,27.655103415103405
1954,3,1954-03-16,235.63033,133.31654,83.34832,0.012983899,26.065218,23.598656,28.531784,1.0718650793650695,24.86541486291486,30.690990860990855
1954,4,1954-04-16,224.41484,117.45052,82.537834,0.21025501,26.782562,24.137583,29.427542,1.5724326599326506,25.19672198172198,29.919444444444444
