Year,Month,FFB_Yield,FFB_production,CPO_Yield
1987,1,1.09,1386360.0,0.21
1987,2,1.04,1360834.0,0.21
1987,3,1.08,1430449.0,0.22
1987,4,1.2,1574587.0,0.24
1987,5,1.2,1628407.0,0.23
1987,6,1.49,2000388.0,0.3
1987,7,1.64,2217885.0,0.32
1987,8,1.87,2512675.0,0.37
1987,9,2.05,2723505.0,0.41
1987,10,1.78,2378941.0,0.36
1987,11,1.47,1959922.0,0.3
1987,12,1.17,1584907.0,0.23
1988,1,0.95,1342798.0,0.19
1988,2,0.97,1408245.0,0.19
1988,3,1.19,1738793.0,0.23
1988,4,1.34,1910411.0,0.26
1988,5,1.38,2019159.0,0.27
1988,6,1.67,2428555.0,0.33
1988,7,1.69,2470693.0,0.33
1988,8,1.85,2694413.0,0.37
1988,9,1.78,2583268.0,0.36
1988,10,1.68,2452898.0,0.34
1988,11,1.57,2295593.0,0.31
1988,12,1.41,2089589.0,0.28
1989,1,1.19,1835319.0,0.24
1989,2,1.09,1674517.0,0.22
1989,3,1.2,1865926.0,0.24
1989,4,1.26,1998552.0,0.25
1989,5,1.43,2270826.0,0.28
1989,6,1.61,2549834.0,0.32
1989,7,1.81,2887380.0,0.35
1989,8,2.05,3219751.0,0.4
1989,9,2.14,3326399.0,0.42
1989,10,2.02,3190069.0,0.4
1989,11,2.02,3172505.0,0.4
1989,12,1.68,2650062.0,0.33
1990,1,1.37,2212994.0,0.27
1990,2,1.26,2088561.0,0.25
1990,3,1.35,2263689.0,0.27
1990,4,1.34,2117920.0,0.24
1990,5,1.72,2853829.0,0.33
1990,6,1.55,2669005.0,0.3
1990,7,1.72,2945379.0,0.33
1990,8,1.88,3186308.0,0.37
1990,9,1.93,3242741.0,0.38
1990,10,1.74,2862912.0,0.34
1990,11,1.51,2475402.0,0.3
1990,12,1.22,2041585.0,0.24
1991,1,0.99,1701641.0,0.19
1991,2,0.97,1703934.0,0.19
1991,3,1.25,2222647.0,0.24
1991,4,1.41,2498393.0,0.27
1991,5,1.59,2839228.0,0.3
1991,6,1.43,2579522.0,0.28
1991,7,1.73,3108456.0,0.34
1991,8,1.88,3333216.0,0.37
1991,9,1.98,3476279.0,0.39
1991,10,1.88,3253939.0,0.38
1991,11,1.49,2569929.0,0.29
1991,12,1.23,2159831.0,0.23
1992,1,1.12,2053729.0,0.22
1992,2,1.07,1948299.0,0.21
1992,3,1.2,2254467.0,0.23
1992,4,1.35,2533676.0,0.26
1992,5,1.41,2650446.0,0.27
1992,6,1.42,2692550.0,0.27
1992,7,1.67,3166186.0,0.31
1992,8,1.75,3290066.0,0.34
1992,9,1.92,3603627.0,0.37
1992,10,1.77,3298507.0,0.34
1992,11,1.71,3124990.0,0.32
1992,12,1.41,2611796.0,0.26
1993,1,1.21,2292248.0,0.23
1993,2,1.17,2303853.0,0.22
1993,3,1.2,2396344.0,0.22
1993,4,1.66,3265826.0,0.31
1993,5,1.63,3227158.0,0.31
1993,6,1.73,3387911.0,0.32
1993,7,1.86,3861782.0,0.34
1993,8,1.99,3947034.0,0.37
1993,9,2.31,4378245.0,0.43
1993,10,2.06,4147241.0,0.39
