Year,Month,pr,tas,hurs,tasmin,tasmax,rolling_pr_3y,tas_range,Year_group
2015,1,126.812035,25.457,82.16865,23.799566,27.114435,126.812035,3.3148690000000016,
2015,2,95.699486,25.89958,81.868614,24.135654,27.663506,222.511521,3.527852000000003,
2015,3,94.59058,26.503607,80.03447,24.540228,28.466986,317.102101,3.9267579999999995,
2015,4,142.3931,27.12579,81.4605,25.179375,29.072205,459.495201,3.89283,
2015,5,134.0176,27.579063,81.68399,25.54935,29.60877,593.512801,4.059419999999999,
2015,6,203.59431,27.606781,82.921135,25.703642,29.509922,797.107111,3.806280000000001,
2015,7,192.55597,27.200884,82.962585,25.298933,29.102837,989.663081,3.8039039999999993,
2015,8,144.38205,27.34591,81.952484,25.359863,29.331957,1134.045131,3.9720939999999985,
2015,9,227.98438,27.094288,82.44178,25.161093,29.027483,1362.029511,3.866389999999999,
2015,10,309.1151,26.78617,83.70479,24.873291,28.699045,1671.144611,3.8257540000000034,
2015,11,277.56693,26.84631,83.95996,25.058449,28.634172,1948.711541,3.575723,
2015,12,310.52853,26.482744,83.89933,24.767242,28.198246,2259.240071,3.4310040000000015,
2016,1,176.11449,26.404728,82.94053,24.742765,28.066692,2435.354561,3.323927000000001,
2016,2,126.930084,26.716354,81.422485,24.959557,28.473154,2562.2846449999997,3.5135970000000007,
2016,3,145.01715,26.929111,81.013535,25.034515,28.823708,2707.301795,3.789193000000001,
2016,4,178.7194,27.55876,82.3094,25.68754,29.42998,2886.021195,3.742440000000002,
2016,5,198.46686,27.865509,82.17236,25.921824,29.809193,3084.488055,3.8873689999999996,
2016,6,199.91368,27.46452,81.61129,25.490639,29.438404,3284.401735,3.947764999999997,
2016,7,194.77979,27.29667,82.582794,25.33709,29.256252,3479.181525,3.919162,
2016,8,164.73012,27.286407,82.01487,25.303852,29.268963,3643.911645,3.9651110000000003,
2016,9,209.83463,27.336813,82.294136,25.358444,29.31518,3853.746275,3.956736000000003,
2016,10,271.51215,26.93242,83.15398,25.00082,28.86402,4125.258425,3.863199999999999,
2016,11,325.8205,26.796564,83.9333,24.948679,28.644447,4451.078925,3.695768000000001,
2016,12,288.17062,26.309992,83.195625,24.626846,27.993137,4739.249545,3.3662910000000004,
2017,1,276.56622,25.692614,84.01713,24.085512,27.299715,5015.815765,3.2142029999999977,
2017,2,145.64468,26.083134,83.81049,24.394442,27.771826,5161.460445,3.3773839999999993,
2017,3,126.54685,26.773527,81.29532,24.89902,28.648035,5288.007294999999,3.749015,
2017,4,149.24173,27.489986,80.84431,25.580797,29.399178,5437.249025,3.8183809999999987,
2017,5,204.55919,27.777086,82.26842,25.792322,29.761852,5641.808215,3.9695300000000024,
2017,6,189.2437,27.043612,82.0665,25.067774,29.019445,5831.051915,3.951671000000001,
2017,7,176.31636,27.201721,82.41039,25.26957,29.133871,6007.368275,3.8643009999999975,
2017,8,151.4334,27.140148,81.44039,25.151657,29.128641,6158.801675,3.976983999999998,
2017,9,199.45189,27.14013,82.53523,25.203514,29.076744,6358.253565,3.873230000000003,
2017,10,235.59479,27.120514,83.02394,25.212,29.029026,6593.848355,3.817026000000002,
2017,11,242.69504,27.2026,82.60636,25.339823,29.065374,6836.543395,3.7255509999999994,
2017,12,326.0889,27.155807,84.00949,25.430723,28.88089,7162.632294999999,3.4501670000000004,
2018,1,182.43288,27.005022,83.06011,25.31891,28.691137,7218.25314,3.3722270000000023,
2018,2,115.32636,27.351862,81.52859,25.536896,29.166832,7237.880013999999,3.6299360000000007,
2018,3,115.02089,27.68889,81.03807,25.799307,29.578474,7258.310323999999,3.779167000000001,
2018,4,190.06673,27.779001,82.317085,25.86513,29.692873,7305.983954,3.827742999999998,
2018,5,236.13847,27.939032,83.15523,26.03344,29.844622,7408.104824,3.8111820000000023,
2018,6,250.39293,27.726551,82.251625,25.753786,29.699316,7454.903444,3.945529999999998,
2018,7,224.19246,27.604431,81.57302,25.619385,29.589478,7486.539934,3.9700929999999985,
2018,8,198.85013,27.75497,81.71682,25.767675,29.742268,7541.008014,3.9745929999999987,
2018,9,236.47325,27.574137,81.89193,25.628666,29.51961,7549.496884,3.890944000000001,
2018,10,306.07446,27.417526,82.821236,25.45078,29.38427,7546.456244,3.933489999999999,
2018,11,299.43658,26.532993,83.80405,24.730778,28.33521,7568.3258940000005,3.604431999999999,
2018,12,291.99344,26.01781,83.96282,24.369598,27.666025,7549.790804,3.2964270000000013,
2019,1,210.99365,25.7778,83.92691,24.17605,27.379545,7584.669964,3.203495,
2019,2,170.06422,25.943266,83.41549,24.320345,27.566183,7627.8041,3.245837999999999,
2019,3,228.36118,26.402592,84.130905,24.597746,28.207432,7711.14813,3.609686,
2019,4,193.4894,27.12926,83.45267,25.254875,29.003645,7725.91813,3.7487700000000004,
2019,5,169.5119,27.73065,82.65889,25.767862,29.693436,7696.96317,3.9255739999999975,
2019,6,150.58005,27.74364,81.95961,25.780748,29.706533,7647.62954,3.925785000000001,
2019,7,193.37836,27.46694,81.74125,25.475498,29.458382,7646.22811,3.9828839999999985,
2019,8,157.53687,27.500626,81.43976,25.534472,29.466782,7639.03486,3.9323099999999975,
2019,9,195.32771,27.357275,82.21866,25.386024,29.328524,7624.52794,3.9425000000000026,
2019,10,272.26306,27.104647,83.440575,25.204025,29.00527,7625.27885,3.801244999999998,
2019,11,264.0478,26.85294,82.58311,25.039288,28.666594,7563.50615,3.627306000000001,
2019,12,319.5268,26.609753,84.02143,24.940182,28.279327,7594.86233,3.3391449999999985,
2020,1,152.46239,26.334,81.621506,24.68961,27.978394,7470.7585,3.2887840000000033,
2020,2,172.20813,26.747156,84.01156,25.091923,28.402391,7497.3219500000005,3.310468,
2020,3,158.02449,27.481354,82.44366,25.660692,29.302013,7528.7995900000005,3.641320999999998,
2020,4,175.7465,27.946268,81.92708,26.013983,29.878555,7555.30436,3.864571999999999,
2020,5,227.63956,28.105429,82.59454,26.167246,30.043612,7578.38473,3.876366000000001,
2020,6,172.33995,27.886765,81.73197,25.90428,29.86925,7561.48098,3.964970000000001,
2020,7,213.63991,27.396788,82.07103,25.446287,29.347286,7598.80453,3.9009989999999988,
2020,8,216.26968,27.52677,81.91776,25.539165,29.514376,7663.64081,3.975210999999998,
2020,9,245.77493,27.490288,82.28227,25.508236,29.472343,7709.96385,3.9641069999999985,
2020,10,296.56912,27.278423,83.16545,25.35437,29.202477,7770.93818,3.848106999999999,
2020,11,294.91714,26.950037,83.18187,25.126663,28.773413,7823.16028,3.646750000000001,
2020,12,405.68713,26.257542,84.69824,24.581675,27.933405,7902.75851,3.35173,
2021,1,245.94345,26.40263,84.49881,24.798868,28.00639,7966.26908,3.207522000000001,2020-2039
2021,2,200.47954,26.752449,84.33872,25.10032,28.404575,8051.42226,3.3042550000000013,2020-2039
2021,3,233.52338,27.144274,83.16425,25.387592,28.900957,8169.92475,3.5133649999999967,2020-2039
2021,4,193.18817,27.830538,81.699936,25.884392,29.77669,8173.04619,3.8922980000000003,2020-2039
2021,5,167.67668,28.137882,80.232666,26.040844,30.234917,8104.5844,4.1940729999999995,2020-2039
2021,6,158.1092,27.613909,80.229195,25.572723,29.655098,8012.30067,4.082374999999999,2020-2039
2021,7,213.41997,27.10034,82.436134,25.145393,29.05528,8001.52818,3.9098870000000012,2020-2039
2021,8,167.19174,27.254745,81.94021,25.285841,29.223646,7969.86979,3.9378049999999973,2020-2039
2021,9,183.90674,27.201452,82.35758,25.267351,29.135553,7917.30328,3.868202,2020-2039
2021,10,246.1248,27.093683,82.85429,25.133934,29.053434,7857.35362,3.9194999999999993,2020-2039
2021,11,237.47458,26.762938,82.81808,24.886131,28.639746,7795.391619999999,3.753615,2020-2039
2021,12,289.0508,26.621378,84.27079,24.932175,28.310581,7792.44898,3.3784059999999982,2020-2039
2022,1,179.56836,26.910543,82.48207,25.175022,28.64606,7761.02369,3.471038,2020-2039
2022,2,107.886765,26.936243,81.83639,25.193853,28.678633,7698.846235,3.4847800000000007,2020-2039
2022,3,135.70496,27.51012,81.1557,25.661507,29.358738,7606.190015,3.6972309999999986,2020-2039
2022,4,150.67732,27.879444,81.09378,25.938309,29.820581,7563.3779349999995,3.8822720000000004,2020-2039
2022,5,222.95221,28.092321,82.02682,26.192669,29.99198,7616.818245,3.799311000000003,2020-2039
2022,6,187.49469,28.310751,81.47193,26.319454,30.302046,7653.732884999999,3.9825920000000004,2020-2039
2022,7,177.99576,27.868378,80.78531,25.853584,29.883171,7638.3502849999995,4.029586999999999,2020-2039
2022,8,197.00252,27.756132,81.8544,25.799835,29.71243,7677.815935,3.9125949999999996,2020-2039
2022,9,226.39732,27.616547,82.22292,25.678047,29.555046,7708.885545,3.8769990000000014,2020-2039
2022,10,285.48874,27.708406,83.05517,25.77959,29.637218,7722.111225000001,3.857628000000002,2020-2039
2022,11,350.12933,27.023706,83.831505,25.20136,28.84605,7808.192755,3.6446900000000007,2020-2039
2022,12,276.17563,25.97238,84.382996,24.386763,27.557999,7764.841585,3.1712360000000004,2020-2039
2023,1,215.12859,25.861986,84.865166,24.27054,27.453432,7827.507785,3.182891999999999,2020-2039
2023,2,138.63907,26.213524,83.464584,24.53577,27.891275,7793.938725,3.355505000000001,2020-2039
2023,3,115.73062,26.568434,81.82794,24.760448,28.376417,7751.644855,3.6159689999999998,2020-2039
2023,4,147.85847,27.369576,81.83574,25.450306,29.288849,7723.7568249999995,3.838542999999998,2020-2039
2023,5,200.15866,27.852564,82.35943,25.900612,29.804512,7696.275925,3.9039,2020-2039
2023,6,212.58937,27.612085,82.601036,25.664234,29.559935,7736.525345,3.895700999999999,2020-2039
2023,7,228.2548,27.185837,82.94842,25.284195,29.087479,7751.140235,3.803283999999998,2020-2039
2023,8,176.67247,27.371191,82.27062,25.452295,29.290085,7711.543025000001,3.837790000000002,2020-2039
2023,9,239.60025,27.329578,82.4584,25.36205,29.29711,7705.368345,3.93506,2020-2039
2023,10,201.00406,27.065695,82.09174,25.11029,29.021097,7609.803285,3.910807000000002,2020-2039
2023,11,291.25757,27.038107,83.60872,25.208944,28.867271,7606.143715,3.658327,2020-2039
2023,12,293.0115,26.508612,83.854836,24.819517,28.197704,7493.468085,3.3781870000000005,2020-2039
2024,1,249.42894,26.42686,83.931435,24.814554,28.039173,7496.9535750000005,3.2246190000000006,2020-2039
2024,2,126.90216,26.605984,82.12068,24.85179,28.360176,7423.376195,3.508385999999998,2020-2039
2024,3,82.69918,27.207375,80.322,25.21822,29.196526,7272.551995000001,3.978306,2020-2039
2024,4,154.35829,27.902184,80.83156,25.90678,29.897587,7233.722115,3.990807,2020-2039
2024,5,192.61131,28.008717,82.17904,26.075172,29.942259,7258.656745,3.8670870000000015,2020-2039
2024,6,211.15424,28.03435,82.73718,26.098309,29.970385,7311.701785,3.872076,2020-2039
2024,7,236.24681,27.17614,83.2419,25.278227,29.074053,7334.528625,3.795825999999998,2020-2039
2024,8,196.08978,27.279156,82.42304,25.357897,29.20041,7363.426665,3.8425130000000003,2020-2039
2024,9,214.11642,27.318611,82.887276,25.398653,29.23857,7393.636345,3.839917,2020-2039
2024,10,320.70956,26.832554,83.538155,24.939465,28.725636,7468.2211050000005,3.786171000000003,2020-2039
2024,11,309.37335,26.860954,84.25604,25.048569,28.67334,7540.119875,3.624770999999999,2020-2039
2024,12,380.95514,26.754618,85.30144,25.088493,28.42074,7632.024215,3.332246999999999,2020-2039
2025,1,254.24188,26.44922,82.68671,24.815237,28.083202,7706.697735,3.2679650000000002,2020-2039
2025,2,92.351006,26.505098,82.18305,24.737011,28.273184,7691.161976,3.5361730000000016,2020-2039
2025,3,135.98698,27.453306,81.675865,25.549004,29.357607,7691.443996,3.8086030000000015,2020-2039
2025,4,127.80747,28.132696,81.34174,26.125942,30.139446,7668.574146,4.013504000000001,2020-2039
2025,5,173.63771,28.351177,82.02148,26.400269,30.302088,7619.2596459999995,3.9018189999999997,2020-2039
2025,6,199.70839,28.291107,82.305305,26.305834,30.276379,7631.473346000001,3.9705449999999978,2020-2039
2025,7,184.76025,27.98317,80.45708,25.91448,30.05186,7638.237836,4.13738,2020-2039
2025,8,262.80334,27.609663,83.09367,25.700195,29.519133,7704.038656000001,3.8189379999999993,2020-2039
2025,9,190.76984,27.803501,81.71812,25.802023,29.804977,7668.4111760000005,4.002954000000003,2020-2039
2025,10,265.58768,27.707216,82.83762,25.774931,29.6395,7648.5101159999995,3.864569000000003,2020-2039
2025,11,354.83908,27.092016,83.88706,25.260075,28.92396,7653.2198659999995,3.6638850000000005,2020-2039
2025,12,232.96065,26.449179,83.21758,24.767374,28.130981,7610.004886000001,3.3636069999999982,2020-2039
2026,1,154.84395,26.425789,82.81244,24.731342,28.120234,7549.720246,3.3888919999999985,2020-2039
2026,2,146.72115,26.847832,82.58184,25.123884,28.57178,7557.802326,3.447896,2020-2039
2026,3,210.81204,27.411747,81.62303,25.56787,29.255627,7652.883746,3.6877570000000013,2020-2039
2026,4,205.9855,27.600525,83.19379,25.738947,29.462103,7711.010776,3.7231559999999995,2020-2039
2026,5,201.5067,28.102959,82.08033,26.098274,30.107643,7712.358816,4.0093689999999995,2020-2039
2026,6,172.43542,27.646397,80.9708,25.627268,29.665524,7672.204866,4.0382560000000005,2020-2039
2026,7,149.32445,27.625454,80.687035,25.573008,29.677904,7593.2745159999995,4.104896,2020-2039
2026,8,161.90489,27.638954,80.84383,25.65329,29.624617,7578.506936000001,3.9713270000000023,2020-2039
2026,9,198.53027,27.668932,82.135025,25.678629,29.659235,7537.436956,3.980605999999998,2020-2039
2026,10,307.8477,27.179964,83.48491,25.316153,29.043774,7644.280596,3.727620999999999,2020-2039
2026,11,277.1747,27.09642,83.565025,25.281569,28.911276,7630.197726,3.629707,2020-2039
2026,12,302.91644,27.053896,84.18685,25.365557,28.742237,7640.102666,3.3766800000000003,2020-2039
2027,1,332.25595,26.71356,84.490585,25.128122,28.298996,7722.929676,3.1708739999999977,2020-2039
2027,2,131.55667,27.225845,82.30279,25.509306,28.94238,7727.584186,3.4330740000000013,2020-2039
2027,3,132.92381,27.549328,81.76789,25.69871,29.399946,7777.808816,3.7012360000000015,2020-2039
2027,4,155.88391,28.147924,81.24647,26.189096,30.106752,7779.334436,3.917656000000001,2020-2039
2027,5,235.45297,28.124521,82.4514,26.220219,30.028824,7822.176096,3.808605,2020-2039
2027,6,196.08987,27.92439,81.80872,25.988255,29.860529,7807.111726,3.872274000000001,2020-2039
2027,7,161.45287,27.925577,81.24663,25.920448,29.930706,7732.317786,4.010258,2020-2039
2027,8,196.28455,27.688782,81.699486,25.732224,29.645342,7732.512556000001,3.9131180000000008,2020-2039
2027,9,194.9684,27.626083,81.93331,25.643423,29.60875,7713.364536,3.965327000000002,2020-2039
2027,10,288.31534,27.25951,83.102394,25.319653,29.199364,7680.970316,3.8797110000000004,2020-2039
2027,11,378.38394,27.011831,84.79752,25.200829,28.822832,7749.980906,3.6220029999999994,2020-2039
2027,12,241.37752,26.635761,83.34547,24.992048,28.279472,7610.403286,3.287423999999998,2020-2039
2028,1,164.71024,26.696339,82.785194,24.994324,28.398354,7520.8716460000005,3.4040300000000023,2020-2039
2028,2,108.99218,26.984852,80.782715,25.170332,28.799377,7537.512819999999,3.6290450000000014,2020-2039
2028,3,134.3375,27.385208,81.860596,25.528667,29.241745,7535.86334,3.713078000000003,2020-2039
2028,4,149.6717,28.038334,81.06171,26.03055,30.046116,7557.72757,4.015566,2020-2039
2028,5,178.62886,28.17527,81.459114,26.213268,30.137274,7562.71872,3.924006000000002,2020-2039
2028,6,171.24004,28.245941,82.30561,26.302683,30.1892,7534.25037,3.8865170000000013,2020-2039
2028,7,194.1046,27.814392,81.32926,25.797352,29.831432,7543.59472,4.034079999999999,2020-2039
2028,8,261.50107,27.531466,83.39514,25.654297,29.408636,7542.29245,3.7543390000000016,2020-2039
2028,9,190.34822,27.800472,82.25446,25.865913,29.735031,7541.87083,3.8691180000000003,2020-2039
2028,10,285.51828,27.340239,83.08171,25.454721,29.225758,7561.80143,3.7710369999999998,2020-2039
2028,11,298.71863,27.345415,83.83975,25.531628,29.159203,7505.680979999999,3.627575,2020-2039
2028,12,471.01007,27.000864,84.62454,25.342701,28.65903,7743.7304,3.3163289999999996,2020-2039
2029,1,224.51556,26.513762,83.52969,24.913603,28.11392,7813.40201,3.200317000000002,2020-2039
2029,2,149.13599,27.212904,82.93306,25.51249,28.91332,7815.816849999999,3.400829999999999,2020-2039
2029,3,153.5669,27.749815,81.58569,25.956638,29.542992,7758.57171,3.586354,2020-2039
2029,4,165.74525,28.352215,81.77136,26.438864,30.265562,7718.33146,3.8266980000000004,2020-2039
2029,5,206.9743,28.548325,82.22951,26.621145,30.475504,7723.79906,3.8543590000000023,2020-2039
2029,6,179.65509,28.303394,81.43923,26.323875,30.282915,7731.01873,3.959039999999998,2020-2039
2029,7,171.15643,28.311214,81.002426,26.25944,30.36299,7752.850710000001,4.1035499999999985,2020-2039
2029,8,197.80406,27.908918,81.71257,25.960827,29.85701,7788.749879999999,3.8961830000000006,2020-2039
2029,9,233.18542,27.811575,81.998215,25.819796,29.803354,7823.40503,3.9835579999999986,2020-2039
2029,10,226.94186,27.76325,82.0437,25.809284,29.717213,7742.49919,3.9079289999999993,2020-2039
2029,11,340.87073,27.378279,83.97692,25.545586,29.210974,7806.19522,3.665388,2020-2039
2029,12,355.73853,26.965746,84.445366,25.276253,28.65524,7859.017309999999,3.3789869999999986,2020-2039
